##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	29_4E_fox_S21_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4827433
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
1103	22-23	0.1779541419177093
1103	24-25	0.11648608168531638
1103	26-27	0.02664047901646427
1103	28-29	0.114044869564502
1103	30-31	0.09308498003522914
1103	32-33	0.07442391797842873
1103	34-35	0.0337144330227801
1103	36-37	0.09006511364430736
1103	38-39	0.07087028319434552
1103	40-41	0.03010985975753755
1103	42-43	0.07785221205585913
1103	44-45	0.17144224823184828
1103	46-47	0.1226492567901758
1103	48-49	0.10262558951147582
1103	50-51	0.07764069672842311
1103	52-53	0.17697753630870494
1103	54-55	0.09675252527770084
1103	56-57	0.06742455588518226
1103	58-59	0.10368698405445542
1103	60-61	0.10416868163486015
1103	62-63	0.17120669450284964
1103	64-65	0.1349600127545827
1103	66-67	0.1422634551311006
1103	68-69	0.17784680731571711
1103	70-71	0.2842213171757777
1103	72-73	0.17298357587408475
1103	74-75	0.15757320899383842
1103	76-77	0.12515289507362581
1103	78-79	0.23924010786844718
1103	80-81	0.268336927650104
1103	82-83	0.20782234276788358
1103	84-85	0.2112012802740466
1103	86-87	0.20751348182409401
1103	88-89	0.3354294420621926
1103	90-91	0.31875988696263846
1103	92-93	0.4192374876486511
1103	94-95	0.5166290637275281
1103	96-97	0.3950867452152522
1103	98-99	0.6685054179960375
1103	100-101	0.5013090383978138
1104	1	-0.10122424733454949
1104	2	-0.02906692019136159
1104	3	-0.09585738907082231
1104	4	0.011390320213962468
1104	5	0.16250903492917246
1104	6	0.05795598585592643
1104	7	0.12039828863887436
1104	8	0.13881881390835105
1104	9	0.04875164625013895
1104	10-11	0.10085923865975133
1104	12-13	0.003431662945288849
1104	14-15	0.08391989671259381
1104	16-17	0.07217871589944025
1104	18-19	0.08423157924344338
1104	20-21	0.12113038717840396
1104	22-23	0.14075293319477566
1104	24-25	0.05401943678716492
1104	26-27	0.0712777820649535
1104	28-29	0.10480828509436435
1104	30-31	0.0977032179847086
1104	32-33	0.08376171793005227
1104	34-35	0.08009783205525167
1104	36-37	0.11727546677477818
1104	38-39	0.0772917798534749
1104	40-41	0.07735194824358871
1104	42-43	0.14554471350596287
1104	44-45	0.2067033442741817
1104	46-47	0.098460466710101
1104	48-49	0.10761505946427263
1104	50-51	0.029495404605455633
